RESG_DIA,CAPTC_DIA,NR_COTST,VL_PATRIM_LIQ,VL_QUOTA,VL_TOTAL,SUGESTÃO
9995.85,28546.41,16690,105693717.16,1.97081907,106659768.09,1
813611.65,23539.84,16725,105686113.99,1.97023836,105843251.56,1
97588.94,9062.36,16711,105686269.51,1.97276978,105895211.94,1
0.0,5556.33,16713,105260211.43,1.96996836,105755386.92,1
144695.85,3923.08,16709,105443775.09,1.9749387,105884872.06,1
281535.07,47399.27,16700,105671090.47,1.98122216,105990694.12,0
16667189.75,444274.51,30977,2299833191.64,21.938004,2292317390.25,1
0.0,487333.63,30981,2294964968.4,21.886918,2287444263.66,1
6800811.17,782400.0,30903,2284229317.95,21.84193,2276710366.87,1
5403980.4,424968.01,30844,2259212410.32,21.650327,2251623814.12,1
4642253.58,613552.11,30800,2262035550.39,21.715989,2254411998.14,1
3084576.68,394878.0,30756,2257863201.96,21.701755,2250210690.86,1
0.0,433154.01,30761,2262135645.67,21.738657,2254483323.05,1
3165469.84,72500.0,30710,2269857671.47,21.842587,2262035661.17,1
3583722.17,365585.01,30680,2275407377.96,21.926959,2267571847.31,1
2351702.64,478583.22,30655,2268805988.47,21.881395,2260952919.72,1
6112360.19,531264.0,30593,2268790477.65,21.935072,2260911847.56,0
0.0,164000.0,30594,2276984823.56,22.012711,2269106728.96,0
3429690.07,268000.0,30569,2275560262.93,22.029504,2267672516.29,1
2548250.39,332500.0,30536,2262896255.14,21.928356,2254992601.36,1
4894861.9,230000.0,30493,2267088214.7,22.014182,2259175765.29,0
4563544.99,317620.33,30432,2268980133.91,22.073782,2261052951.65,1
0.0,231590.0,30433,2266140440.95,22.043903,2258213011.17,1
2801398.12,561096.15,30400,2267241240.41,22.076404,2259306455.09,1
2211992.8,230962.42,30379,2260262109.94,22.027737,2252313697.48,1
1215978.16,489239.31,30364,2262757785.5,22.059141,2254801454.36,0
3719665.05,248000.0,30333,2263775951.64,22.102912,2264919069.0,0
6690228.51,4273277.17,40057,4231503489.33,19.915629,4238288614.41,1
9155587.2,3495397.74,40032,4226505837.11,19.918747,4224658728.14,1
5092672.55,2781573.16,40009,4222944773.44,19.912856,4228404932.23,1
6735088.25,3773228.89,39984,4217046381.88,19.899009,4219511639.52,1
6533314.7,3159459.36,39976,4220557819.34,19.931499,4220258133.71,1
8211712.58,1774768.14,39943,4215750112.74,19.939193,4224782740.88,1
6592045.99,4269345.63,39928,4215762057.55,19.950235,4215045830.19,1
6853386.62,4265935.45,39912,4220922272.07,19.9869,4228936485.58,1
7444651.24,3979428.88,39890,4223479494.78,20.015417,4226175145.76,1
4212654.28,3348810.63,39871,4216988613.63,19.98875,4222633708.74,1
7228209.59,4047326.21,39836,4218362504.77,20.01034,4227171072.26,1
7627964.81,4346759.19,39817,4217882464.7,20.023628,4220324024.5,1
6929889.05,3678005.07,39794,4214357054.69,20.022329,4223166028.46,1
